DOID:0111060	MESH:C536605
DOID:0111068	MESH:C535444
DOID:0111069	MESH:C535443
DOID:0111070	MESH:C566340
DOID:0111071	MESH:C535442
DOID:0111078	MESH:C536815
DOID:0111079	MESH:C537630
DOID:0111148	MESH:C536184
DOID:0111148	MESH:D004479
DOID:0111151	MESH:D000788
DOID:0111152	MESH:C537372
DOID:0111157	MESH:C536362
DOID:0111157	MESH:D005871
DOID:10003	MESH:D006313
DOID:10003	MESH:D006316
DOID:10003	MESH:D006319
DOID:10016	MESH:D018814
DOID:10017	MESH:D018761
DOID:1002	MESH:D004716
DOID:10021	MESH:D004379
DOID:10024	MESH:D020325
DOID:10027	MESH:D013606
DOID:1003	MESH:D000292
DOID:10032	MESH:D019568
DOID:10035	MESH:D009494
DOID:10039	MESH:D009494
DOID:10041	MESH:D004416
DOID:10073	MESH:C536775
DOID:10074	MESH:D006925
DOID:10075	MESH:D004169
DOID:10079	MESH:D003551
DOID:10080	MESH:D013031
DOID:10112	MESH:D014353
DOID:10122	MESH:C562400
DOID:10124	MESH:D003316
DOID:10126	MESH:D007640
DOID:10128	MESH:D014689
DOID:10138	MESH:D014985
DOID:10140	MESH:D015352
DOID:10141	MESH:D001248
DOID:10155	MESH:D007414
DOID:10156	MESH:D007078
DOID:10159	MESH:D010020
DOID:10175	MESH:D010211
DOID:10176	MESH:D012173
DOID:10192	MESH:D008067
DOID:1022	MESH:D010874
DOID:10223	MESH:D003882
DOID:1023	MESH:D015439
DOID:10235	MESH:D015835
DOID:10236	MESH:D005084
DOID:1024	MESH:D007918
DOID:10241	MESH:D013789
DOID:10242	MESH:D016873
DOID:1025	MESH:D015441
DOID:10250	MESH:D008146
DOID:10264	MESH:D009107
DOID:10283	MESH:D011471
DOID:10289	MESH:C549759
DOID:1029	MESH:D010245
DOID:10293	MESH:D004948
DOID:10300	MESH:D011928
DOID:10301	MESH:D010309
DOID:10302	MESH:D010305
DOID:10303	MESH:D012793
DOID:10310	MESH:D008587
DOID:10314	MESH:D004696
DOID:10316	MESH:D011009
DOID:10320	MESH:D001195
DOID:10321	MESH:C537080
DOID:10322	MESH:D001607
DOID:10323	MESH:D002095
DOID:10324	MESH:D000874
DOID:10325	MESH:D012829
DOID:10326	MESH:D002205
DOID:10327	MESH:D055008
DOID:10328	MESH:D012806
DOID:10348	MESH:D016569
DOID:10350	MESH:D047688
DOID:10354	MESH:D005348
DOID:1037	MESH:D007945
DOID:10371	MESH:D015001
DOID:10375	MESH:D000550
