GO_0016754	R03323
GO_0019143	R03350
GO_0016303	R03362
GO_0016629	R03401
GO_0019874	R03448
GO_0018759	R03464
GO_0016308	R03469
GO_0015069	R03477
GO_0018619	R03543
GO_0018624	R03559
GO_0017178	R03613
GO_0018620	R03630
GO_0016844	R03738
GO_0019147	R03759
GO_0016851	R03877
GO_0018861	R03932
GO_0018457	R03945
GO_0018851	R04040
GO_0018663	R04130
GO_0018507	R04151
GO_0017067	R04213
GO_0018761	R04349
GO_0019180	R04438
GO_0018537	R04464
GO_0018833	R04522
GO_0016216	R04872
GO_0018845	R05137
GO_0018628	R05148
GO_0018627	R05156
GO_0018481	R05236
GO_0018511	R05240
GO_0018541	R05244
GO_0018462	R05271
GO_0018482	R05272
GO_0018489	R05274
GO_0018517	R05275
GO_0018516	R05276
GO_0018463	R05283
GO_0018464	R05305
GO_0018510	R05308
GO_0018513	R05310
GO_0018515	R05311
GO_0018518	R05312
GO_0018519	R05313
GO_0018521	R05314
GO_0018525	R05316
GO_0019134	R05332
GO_0018818	R05380
GO_0018856	R05452
GO_0018788	R05558
GO_0018681	R05567
GO_0018823	R05597
GO_0018805	R05598
GO_0018710	R05735
GO_0016720	R05740
GO_0018693	R05745
GO_0018760	R05780
GO_0018392	R06015
GO_0018635	R06398
GO_0018530	R07170
GO_0018740	R07311
GO_0018814	R07638
GO_0016295	R08159
GO_0016296	R08162
GO_0018635	R09393
GO_0030410	R00075
GO_0030603	R00338
GO_0030585	R00346
GO_0030774	R00984
GO_0030750	R01153
GO_0030741	R01188
GO_0030740	R01189
GO_0030787	R01190
GO_0030736	R01239
GO_0030729	R01357
GO_0030196	R01408
GO_0032867	R01759
GO_0030266	R01872
GO_0030731	R01883
GO_0030735	R02144
GO_0033714	R02277
GO_0030272	R02301
GO_0030412	R02302
GO_0033984	R02340
GO_0030738	R02384
GO_0030767	R02667
GO_0030408	R02729
GO_0030769	R02858
GO_0030770	R02859
GO_0030760	R02862
GO_0030411	R02907
GO_0030753	R02982
GO_0033787	R02999
GO_0033813	R03064
GO_0030270	R03390
GO_0030758	R03456
GO_0033887	R03517
GO_0033888	R03518
GO_0030744	R03587
GO_0030751	R03623
GO_0030778	R03721
GO_0030756	R03731
GO_0030737	R03746
GO_0030777	R03835
GO_0030773	R03934
GO_0030788	R03948
GO_0033852	R03952
GO_0030768	R04013
GO_0033980	R04053
GO_0030762	R04077
GO_0030763	R04169
GO_0033711	R04210
GO_0030269	R04347
GO_0030761	R04398
GO_0030771	R04421
GO_0030745	R04436
GO_0030268	R04456
GO_0030759	R04505
GO_0030780	R04705
GO_0030779	R04707
GO_0033778	R04826
GO_0033766	R05158
GO_0030757	R05323
GO_0033828	R05328
GO_0033972	R05357
GO_0033848	R05465
GO_0034027	R05467
GO_0033877	R05588
GO_0031299	R05652
GO_0030604	R05688
GO_0033741	R05717
GO_0030793	R05757
GO_0030848	R05758
GO_0030796	R05760
GO_0030798	R05763
GO_0030797	R05776
GO_0033775	R05828
GO_0033856	R05838
GO_0033702	R06117
GO_0034002	R06120
GO_0031132	R06126
GO_0033703	R06166
GO_0034016	R06502
GO_0034003	R06523
GO_0033971	R06601
GO_0033803	R06807
GO_0033799	R06815
GO_0033863	R06836
GO_0033767	R06892
GO_0034020	R06948
GO_0033816	R06978
GO_0033990	R06979
GO_0034022	R06988
GO_0033982	R07125
GO_0033704	R07138
GO_0033709	R07144
GO_0033735	R07164
GO_0033735	R07165
GO_0033760	R07185
GO_0033761	R07186
GO_0033771	R07198
GO_0033776	R07201
GO_0033777	R07203
GO_0033779	R07204
GO_0033781	R07207
GO_0033782	R07208
GO_0033789	R07222
GO_0030699	R07226
GO_0033797	R07229
GO_0033802	R07242
GO_0033831	R07264
GO_0033854	R07276
GO_0033855	R07277
GO_0033876	R07289
GO_0033608	R07290
GO_0033880	R07294
GO_0033881	R07295
GO_0033973	R07307
GO_0033981	R07313
GO_0033988	R07318
GO_0032115	R07346
GO_0033732	R07353
GO_0033784	R07373
GO_0034028	R07404
GO_0034024	R07414
GO_0033969	R07419
GO_0033885	R07582
GO_0033736	R07598
GO_0033739	R07605
GO_0033744	R07606
GO_0033743	R07607
GO_0033970	R07629
GO_0034006	R07630
GO_0034007	R07631
GO_0034008	R07632
GO_0034010	R07633
GO_0034011	R07634
GO_0034004	R07647
GO_0034005	R07649
GO_0033983	R07650
GO_0033873	R07797
GO_0033874	R07798
GO_0033960	R07918
GO_0033712	R08194
GO_0034009	R08199
GO_0033978	R08200
GO_0034029	R08201
GO_0033850	R08528
GO_0030772	R08547
