10060	208562_s_at
10061	207622_s_at
10061	207623_at
10061	209246_at
10061	209247_s_at
10061	214232_at
10062	203920_at
10063	203880_at
10066	218143_s_at
10067	201771_at
10069	218377_s_at
1007	207729_at
10072	218567_x_at
10073	207438_s_at
10075	208598_s_at
10075	214673_s_at
10076	211320_s_at
10077	220558_x_at
10078	218612_s_at
10079	212062_at
1008	220115_s_at
10083	205137_x_at
10083	211184_s_at
10084	207769_s_at
10084	214527_s_at
10085	207379_at
10086	221162_at
10087	219625_s_at
10089	220412_x_at
1009	207172_s_at
1009	207173_x_at
10090	205138_s_at
10090	205139_s_at
10092	211963_s_at
10093	211672_s_at
10093	217817_at
10093	217818_s_at
10094	208736_at
10095	201954_at
10096	200996_at
10096	213101_s_at
10096	213102_at
10097	200727_s_at
10097	200728_at
10097	200729_s_at
10098	209890_at
10099	200972_at
10099	200973_s_at
101	205179_s_at
101	205180_s_at
1010	207149_at
10100	214606_at
10102	212656_at
10102	214331_at
10102	214332_s_at
10103	209114_at
10105	201489_at
10105	201490_s_at
10106	203445_s_at
10106	208735_s_at
10107	210579_s_at
10107	221627_at
10107	56748_at
10109	207988_s_at
10109	208679_s_at
10109	213513_x_at
10110	220357_s_at
10111	208393_s_at
10111	209349_at
10112	218755_at
10113	217861_s_at
10114	207764_s_at
10114	210148_at
10116	212367_at
10116	212373_at
10116	212374_at
10120	202135_s_at
10121	200720_s_at
10121	200721_s_at
10123	202206_at
10123	202207_at
10123	202208_s_at
10124	205020_s_at
10125	205590_at
10126	204008_at
10127	203707_at
10128	211615_s_at
10128	211971_s_at
10129	204072_s_at
10129	214318_s_at
1013	206327_s_at
1013	206328_at
10130	207668_x_at
10130	208638_at
10130	208639_x_at
10130	216640_s_at
10131	201391_at
10133	202073_at
10133	202074_s_at
10134	200837_at
10135	217738_at
10135	217739_s_at
10136	210080_x_at
10136	211738_x_at
10137	212168_at
10137	212170_at
10138	206238_s_at
10139	203174_s_at
10139	215984_s_at
1014	206517_at
10140	202704_at
10141	207241_at
10142	210962_s_at
10144	202972_s_at
10144	202973_x_at
10144	217047_s_at
10146	201503_at
10146	201514_s_at
10147	212000_at
10147	212001_at
10147	213505_s_at
10147	214092_x_at
10147	64371_at
10148	219424_at
10149	206002_at
1015	209847_at
10150	203640_at
10150	205017_s_at
10150	205018_s_at
10152	207268_x_at
10152	209856_x_at
